"Id","Name","Country","Discipline","Event"
1,ABDELMAGID Wael,Egypt,Football,
1,ABE Junya,Japan,Volleyball,
1,ABE Katsuhiko,Japan,Basketball,
1,ADAMA Cherif,C�te d'Ivoire,Football,
1,AGEBA Yuya,Japan,Volleyball,
1,AIKMAN Siegfried Gottlieb,Japan,Hockey,Men
1,AL SAADI Kais,Germany,Hockey,Men
1,ALAMEDA Lonni,Canada,Baseball/Softball,Softball
1,ALEKNO Vladimir,Islamic Republic of Iran,Volleyball,Men
1,ALEKSEEV Alexey,ROC,Handball,Women
1,ALLER CARBALLO Manuel Angel,Spain,Basketball,
1,ALSHEHRI Saad,Saudi Arabia,Football,Men
1,ALY Kamal,Egypt,Football,
1,AMAYA GAITAN Fabian,Puerto Rico,Basketball,
1,AMO AGUADO Pablo,Spain,Football,
1,ANDONOVSKI Vlatko,United States of America,Football,Women
1,ANNAN Alyson,Netherlands,Hockey,Women
1,ARNAU CREUS Xavier,Japan,Hockey,Women
1,ARNOLD Graham,Australia,Football,Men
1,AXNER Tomas,Sweden,Handball,Women
1,BABER Gareth Colin,Fiji,Rugby Sevens,Men
1,BACIU Horatiu,Romania,Football,
1,BANBULA Wojciech,Poland,Volleyball,
1,BAO Zhuang,People's Republic of China,Volleyball,
1,BARYLA Pawel,ROC,Volleyball,
1,BASILIO Mel,Canada,Baseball/Softball,Softball
1,BASSO Paola,Great Britain,Artistic Swimming,Duet
1,BATCH Colin,Australia,Hockey,Men
1,BATISTA Fernando,Argentina,Football,Men
1,BATISTA SANTIAGO Gerardo,Puerto Rico,Basketball,Women
1,BENCIC Filip,Serbia,Basketball,
1,BERG Laura,United States of America,Baseball/Softball,Softball
1,BERGE Christian,Norway,Handball,Men
1,BILLAVA SURESH Ankitha,India,Hockey,Women
1,BIRO Attila,Hungary,Water Polo,Women
1,BLECHER SIDOROVA Svetlana,Israel,Artistic Swimming,Duet
1,BLENGINI Gianlorenzo,Italy,Volleyball,Men
1,BOLTON Alice,Nigeria,Basketball,
1,BREIVIK Marit,Norway,Handball,
1,BRODERICK William,Brazil,Rugby Sevens,Women
1,BRONDELLO Sandy,Australia,Basketball,Women
1,BROWN Chris,United States of America,Rugby Sevens,Women
1,BROWN Michael,Nigeria,Basketball,Men
1,BRUN Aristide,Austria,Artistic Swimming,
1,BUNTING Allan,New Zealand,Rugby Sevens,Women
1,BURLANDO Giovanna,Italy,Artistic Swimming,
1,BUSATO Sergio,ROC,Volleyball,Women
1,BUSENKELL Axel,Germany,Football,
1,BYRNE Mick,Canada,Rugby Sevens,Women
1,CADENAS MONTANES Manuel,Argentina,Handball,Men
1,CALDAS Max,Netherlands,Hockey,Men
1,CAMPAGNA Alessandro,Italy,Water Polo,Men
1,CARO Carlos,Mexico,Baseball/Softball,Softball
1,CASAREZ Mary Lucy,Japan,Baseball/Softball,Softball
1,CASTRO Alex,Chile,Football,
1,CHAMBERS Cheryl,Australia,Basketball,
1,CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet
1,CHEPAK Anastasiya,Egypt,Artistic Swimming,Team
1,CHERNETSKA Natalia,Greece,Artistic Swimming,Duet
1,CHERNETSKA Natalia,Greece,Artistic Swimming,Team
1,CHIARI Simona,San Marino,Artistic Swimming,
1,CHOI Il Eon,Republic of Korea,Baseball/Softball,Baseball
1,CHUN Jooweon,Republic of Korea,Basketball,Women
1,CLARK STEPHEN Gregg,India,Hockey,Men
1,COLLET Vincent,France,Basketball,Men
1,COMMENS Adam,Belgium,Hockey,
1,COURTEIX David,France,Rugby Sevens,Women
1,CRESPI JAUME Margalida,Colombia,Artistic Swimming,
1,CRUZ Filipe,Angola,Handball,Women
1,DAL ZOTTO Renan,Brazil,Volleyball,Men
1,DANCER Sean,Ireland,Hockey,Women
1,DANCHENKO Tatiana,ROC,Artistic Swimming,Duet
1,DAVY Jeremy,Australia,Hockey,Women
1,DAZA Fabian,Chile,Football,
1,de la FUENTE CASTILLO Luis,Spain,Football,Men
1,de MOURA Luizomar,Kenya,Volleyball,Women
1,de OLIVEIRA Marcus Ricardo,Brazil,Handball,Men
1,de VOS Robbert-Jan,Netherlands,Hockey,
1,DELANEY Mike,New Zealand,Hockey,
1,DEMCHENKO Zhanna,Kazakhstan,Artistic Swimming,Duet
1,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,
1,DIAZ HENRIQUEZ Nestor,Dominican Republic,Basketball,
1,DIDENKO Natalia,Spain,Artistic Swimming,
1,DOBSON Howard,United States of America,Baseball/Softball,Softball
1,DORE Karine,Canada,Artistic Swimming,
1,DROBNJAK Dragisa,Slovenia,Basketball,
1,DUENAS de GALARZA Jorge,Brazil,Handball,Women
1,DURO Fernando,Venezuela,Basketball,
1,DYKSTRA Trisha,Australia,Basketball,
1,ECHEZURIA Manuel,Venezuela,Basketball,
1,EDDY Anthony,Ireland,Rugby Sevens,Men
1,EITOKU Atsushi,Japan,Artistic Swimming,
1,ELAFANDI Nour,Egypt,Artistic Swimming,Duet
1,ELAFANDI Nour,Egypt,Artistic Swimming,Team
1,ELEK Gabor,Hungary,Handball,Women
1,ENGELLAND Chip,United States of America,Basketball,
1,ENQUIST Susan,United States of America,Volleyball,
1,ERIKSEN Ken,United States of America,Baseball/Softball,Softball
1,EWING Gareth,South Africa,Hockey,Men
1,FABRE Julie,France,Artistic Swimming,Duet
1,FAHMY LATIF Yasmine,Egypt,Artistic Swimming,
1,FALERO Miguel,Honduras,Football,Men
1,FARINELLI Roberta,Italy,Artistic Swimming,Duet
1,FARINELLI Roberta,Italy,Artistic Swimming,Team
1,FATOVIC Elvis,Australia,Water Polo,Men
1,FAVAREL Pablo,Venezuela,Basketball,
1,FEDIUSHYNA Tetiana,Ukraine,Artistic Swimming,
1,FERRARO Hernan,Argentina,Volleyball,Women
1,FISH Nathan,Israel,Baseball/Softball,Baseball
