"Id","TeamName","Discipline","Country","Event"
1,Belgium,3x3 Basketball,Belgium,Men
1,China,3x3 Basketball,People's Republic of China,Men
1,China,3x3 Basketball,People's Republic of China,Women
1,France,3x3 Basketball,France,Women
1,Italy,3x3 Basketball,Italy,Women
1,Japan,3x3 Basketball,Japan,Men
1,Japan,3x3 Basketball,Japan,Women
1,Latvia,3x3 Basketball,Latvia,Men
1,Mongolia,3x3 Basketball,Mongolia,Women
1,Netherlands,3x3 Basketball,Netherlands,Men
1,Poland,3x3 Basketball,Poland,Men
1,ROC,3x3 Basketball,ROC,Men
1,ROC,3x3 Basketball,ROC,Women
1,Romania,3x3 Basketball,Romania,Women
1,Serbia,3x3 Basketball,Serbia,Men
1,United States,3x3 Basketball,United States of America,Women
1,Australia,Archery,Australia,Men's Team
1,Australia,Archery,Australia,Mixed Team
1,Bangladesh,Archery,Bangladesh,Mixed Team
1,Belarus,Archery,Belarus,Women's Team
1,Brazil,Archery,Brazil,Mixed Team
1,Canada,Archery,Canada,Mixed Team
1,China,Archery,People's Republic of China,Men's Team
1,China,Archery,People's Republic of China,Mixed Team
1,China,Archery,People's Republic of China,Women's Team
1,Chinese Taipei,Archery,Chinese Taipei,Men's Team
1,Chinese Taipei,Archery,Chinese Taipei,Mixed Team
1,Chinese Taipei,Archery,Chinese Taipei,Women's Team
1,Colombia,Archery,Colombia,Mixed Team
1,Egypt,Archery,Egypt,Mixed Team
1,France,Archery,France,Men's Team
1,France,Archery,France,Mixed Team
1,Germany,Archery,Germany,Mixed Team
1,Germany,Archery,Germany,Women's Team
1,Great Britain,Archery,Great Britain,Men's Team
1,Great Britain,Archery,Great Britain,Mixed Team
1,Great Britain,Archery,Great Britain,Women's Team
1,India,Archery,India,Men's Team
1,India,Archery,India,Mixed Team
1,Indonesia,Archery,Indonesia,Men's Team
1,Indonesia,Archery,Indonesia,Mixed Team
1,Italy,Archery,Italy,Mixed Team
1,Italy,Archery,Italy,Women's Team
1,Japan,Archery,Japan,Men's Team
1,Japan,Archery,Japan,Mixed Team
1,Japan,Archery,Japan,Women's Team
1,Kazakhstan,Archery,Kazakhstan,Men's Team
1,Malaysia,Archery,Malaysia,Mixed Team
1,Mexico,Archery,Mexico,Mixed Team
1,Mexico,Archery,Mexico,Women's Team
1,Mongolia,Archery,Mongolia,Mixed Team
1,Netherlands,Archery,Netherlands,Men's Team
1,Netherlands,Archery,Netherlands,Mixed Team
1,Poland,Archery,Poland,Mixed Team
1,Rep. of Moldova,Archery,Republic of Moldova,Mixed Team
1,Republic of Korea,Archery,Republic of Korea,Men's Team
1,Republic of Korea,Archery,Republic of Korea,Mixed Team
1,Republic of Korea,Archery,Republic of Korea,Women's Team
1,ROC,Archery,ROC,Mixed Team
1,ROC,Archery,ROC,Women's Team
1,Spain,Archery,Spain,Mixed Team
1,Tunisia,Archery,Tunisia,Mixed Team
1,Turkey,Archery,Turkey,Mixed Team
1,Ukraine,Archery,Ukraine,Mixed Team
1,Ukraine,Archery,Ukraine,Women's Team
1,United States,Archery,United States of America,Men's Team
1,United States,Archery,United States of America,Mixed Team
1,United States,Archery,United States of America,Women's Team
1,Vietnam,Archery,Vietnam,Mixed Team
1,Belgium,Artistic Gymnastics,Belgium,Women's Team
1,Brazil,Artistic Gymnastics,Brazil,Men's Team
1,Canada,Artistic Gymnastics,Canada,Women's Team
1,China,Artistic Gymnastics,People's Republic of China,Men's Team
1,China,Artistic Gymnastics,People's Republic of China,Women's Team
1,Chinese Taipei,Artistic Gymnastics,Chinese Taipei,Men's Team
1,France,Artistic Gymnastics,France,Women's Team
1,Germany,Artistic Gymnastics,Germany,Men's Team
1,Germany,Artistic Gymnastics,Germany,Women's Team
1,Great Britain,Artistic Gymnastics,Great Britain,Men's Team
1,Great Britain,Artistic Gymnastics,Great Britain,Women's Team
1,Italy,Artistic Gymnastics,Italy,Women's Team
1,Japan,Artistic Gymnastics,Japan,Men's Team
1,Japan,Artistic Gymnastics,Japan,Women's Team
1,Netherlands,Artistic Gymnastics,Netherlands,Women's Team
1,Korea,Artistic Gymnastics,Republic of Korea,Men's Team
1,ROC,Artistic Gymnastics,ROC,Men's Team
1,ROC,Artistic Gymnastics,ROC,Women's Team
1,Spain,Artistic Gymnastics,Spain,Men's Team
1,Spain,Artistic Gymnastics,Spain,Women's Team
1,Switzerland,Artistic Gymnastics,Switzerland,Men's Team
1,Ukraine,Artistic Gymnastics,Ukraine,Men's Team
1,United States,Artistic Gymnastics,United States of America,Men's Team
1,United States,Artistic Gymnastics,United States of America,Women's Team
1,Australia,Artistic Swimming,Australia,Duet
1,Australia,Artistic Swimming,Australia,Team
1,Austria,Artistic Swimming,Austria,Duet
1,Belarus,Artistic Swimming,Belarus,Duet
1,Canada,Artistic Swimming,Canada,Duet
1,Canada,Artistic Swimming,Canada,Team
1,China,Artistic Swimming,People's Republic of China,Duet
1,China,Artistic Swimming,People's Republic of China,Team
1,Colombia,Artistic Swimming,Colombia,Duet
1,Egypt,Artistic Swimming,Egypt,Duet
1,Egypt,Artistic Swimming,Egypt,Team
1,France,Artistic Swimming,France,Duet
1,Great Britain,Artistic Swimming,Great Britain,Duet
1,Greece,Artistic Swimming,Greece,Duet
1,Greece,Artistic Swimming,Greece,Team
1,Israel,Artistic Swimming,Israel,Duet
1,Italy,Artistic Swimming,Italy,Duet
1,Italy,Artistic Swimming,Italy,Team
1,Japan,Artistic Swimming,Japan,Duet
1,Japan,Artistic Swimming,Japan,Team
1,Kazakhstan,Artistic Swimming,Kazakhstan,Duet
1,Liechtenstein,Artistic Swimming,Liechtenstein,Duet
1,Mexico,Artistic Swimming,Mexico,Duet
1,Netherlands,Artistic Swimming,Netherlands,Duet
1,ROC,Artistic Swimming,ROC,Duet
1,ROC,Artistic Swimming,ROC,Team
1,South Africa,Artistic Swimming,South Africa,Duet
1,Spain,Artistic Swimming,Spain,Duet
1,Spain,Artistic Swimming,Spain,Team
1,Ukraine,Artistic Swimming,Ukraine,Duet
1,Ukraine,Artistic Swimming,Ukraine,Team
1,United States,Artistic Swimming,United States of America,Duet
1,Australia,Athletics,Australia,Women's 4 x 400m Relay
1,Bahamas,Athletics,Bahamas,Women's 4 x 400m Relay
1,Belarus,Athletics,Belarus,Women's 4 x 400m Relay
1,Belgium,Athletics,Belgium,4 x 400m Relay Mixed
1,Belgium,Athletics,Belgium,Men's 4 x 400m Relay
1,Belgium,Athletics,Belgium,Women's 4 x 400m Relay
1,Botswana,Athletics,Botswana,Men's 4 x 400m Relay
1,Brazil,Athletics,Brazil,4 x 400m Relay Mixed
1,Brazil,Athletics,Brazil,Men's 4 x 100m Relay
1,Brazil,Athletics,Brazil,Women's 4 x 100m Relay
1,Canada,Athletics,Canada,Men's 4 x 100m Relay
1,Canada,Athletics,Canada,Women's 4 x 400m Relay
1,China,Athletics,People's Republic of China,Men's 4 x 100m Relay
1,China,Athletics,People's Republic of China,Women's 4 x 100m Relay
1,Colombia,Athletics,Colombia,Men's 4 x 400m Relay
1,Cuba,Athletics,Cuba,Women's 4 x 400m Relay
1,Czech Republic,Athletics,Czech Republic,Men's 4 x 400m Relay
1,Denmark,Athletics,Denmark,Men's 4 x 100m Relay
1,Denmark,Athletics,Denmark,Women's 4 x 100m Relay
1,Dominican Rep.,Athletics,Dominican Republic,4 x 400m Relay Mixed
1,Ecuador,Athletics,Ecuador,Women's 4 x 100m Relay
1,France,Athletics,France,Men's 4 x 100m Relay
1,France,Athletics,France,Men's 4 x 400m Relay
1,France,Athletics,France,Women's 4 x 100m Relay
1,France,Athletics,France,Women's 4 x 400m Relay
1,Germany,Athletics,Germany,4 x 400m Relay Mixed
1,Germany,Athletics,Germany,Men's 4 x 100m Relay
